Shop Code,Recency,Frequency,Monetary,Volatility,First_Year,True_Churn,R_Score,F_Score,M_Score,V_Score
Shop 321,35,15,32999.090000000004,5.984717553490851,2023,0,2,4,4,2
Shop 322,12,11,34033.27,6.808793389619397,2023,0,4,3,4,1
Shop 323,113,11,44755.65,7.017116378109266,2023,0,1,3,4,1
Shop 324,64,5,11807.23,2.5807981575099195,2023,0,1,1,2,5
Shop 325,62,2,2971.32,6.0,2024,0,1,1,1,2
Shop 326,2,21,31955.54,8.340481938671063,2023,0,5,5,4,1
Shop 327,5,23,84895.0,6.226714715520825,2023,0,5,5,5,2
Shop 328,28,19,26521.7,5.381790371531058,2023,0,2,4,4,3
Shop 329,14,17,18432.03,3.3682466462664937,2023,0,3,4,3,5
Shop 330,26,20,39729.48,5.064299025849684,2023,0,2,5,4,3
Shop 331,2,9,15858.6,4.236669636302719,2023,0,5,2,3,4
Shop 332,29,3,7002.67,6.203264525944764,2023,0,2,1,2,2
Shop 333,15,3,8861.1,7.471936942720778,2023,0,3,1,2,1
Shop 334,43,9,18784.75,5.977659688384188,2023,0,2,2,3,2
Shop 335,64,5,6666.75,4.944359778776655,2023,0,1,1,2,3
Shop 336,15,5,7069.09,4.99473442161664,2023,0,3,1,2,3
Shop 337,43,8,13342.24,5.435544028787623,2023,0,2,2,2,2
Shop 338,14,8,6067.25,2.885154281201866,2023,0,3,2,1,5
Shop 339,8,10,30283.67,2.581223069403905,2023,0,4,3,4,5
Shop 340,140,3,19094.16,9.577329928653338,2023,0,1,1,3,1
Shop 341,12,31,69371.74,4.152255370573448,2023,0,4,5,5,4
Shop 342,0,26,108224.54000000001,7.120799570061597,2023,0,5,5,5,1
Shop 343,15,6,8818.81,4.643777712010868,2023,0,3,2,2,3
Shop 344,16,12,13908.57,4.108322276634673,2023,0,3,3,2,4
Shop 345,21,13,18031.48,3.2254690447185697,2023,0,3,4,3,5
Shop 346,12,32,56632.840000000004,4.673803230315016,2023,0,4,5,5,3
Shop 347,21,4,2820.65,3.7466152894241405,2023,1,3,1,1,4
Shop 348,329,1,406.4,0.0,2023,1,1,1,1,5
Shop 349,14,28,66418.47,7.61819065929757,2023,0,3,5,5,1
Shop 350,2,58,241780.0,5.987904838349739,2023,0,5,5,5,2
Shop 351,58,49,113678.8,6.358068066457924,2023,1,1,5,5,2
Shop 352,13,23,78817.86,5.3093166398712,2023,0,4,5,5,3
Shop 353,202,2,1316.5,3.872983346207416,2023,1,1,1,1,4
Shop 354,29,7,45485.45,8.372155751428782,2023,0,2,2,4,1
Shop 355,16,17,268587.02,7.130718867202926,2023,0,3,4,5,1
Shop 356,9,16,21652.91,4.229125447321267,2023,0,4,4,3,4
Shop 357,97,6,8602.3,4.784706283952336,2023,1,1,2,2,3
Shop 358,14,48,127245.0,5.40661145541413,2023,0,3,5,5,3
Shop 359,2,18,40210.13,4.605689537022228,2023,0,5,4,4,3
Shop 360,34,14,20238.22,5.0042125126556165,2023,0,2,4,3,3
Shop 361,13,9,10035.93,5.223801872178114,2023,0,4,2,2,3
Shop 362,48,6,4359.04,3.4280418008296367,2023,0,2,2,1,5
Shop 363,8,16,27743.93,3.5496469425072434,2023,0,4,4,4,5
Shop 364,15,15,29434.55,5.439161835227896,2023,0,3,4,4,2
Shop 365,21,16,52387.46,5.105782216082914,2023,0,3,4,4,3
Shop 366,21,25,20778.64,4.2998107999834,2023,0,3,5,3,4
Shop 367,77,13,29163.38,5.2330840289825264,2023,1,1,4,4,3
Shop 368,7,9,7950.13,3.587337506370903,2023,0,5,2,2,4
Shop 369,6,14,11897.89,4.911085870564226,2023,0,5,4,2,3
Shop 370,47,16,33503.64,5.831105742406921,2023,0,2,4,4,2
Shop 371,14,6,5952.53,3.736036803022422,2023,0,3,2,1,4
Shop 372,21,13,16599.65,4.24222534788846,2023,0,3,4,3,4
Shop 373,30,11,45240.04,8.726164664088301,2023,0,2,3,4,1
Shop 374,219,6,14975.69,6.321020127707273,2023,0,1,2,3,2
Shop 375,345,10,12651.45,4.989764498517427,2023,1,1,3,2,3
Shop 376,41,2,3819.34,6.324555320336757,2024,1,2,1,1,2
Shop 377,27,10,15742.220000000001,4.2293296388332235,2023,1,2,3,3,4
Shop 378,233,1,31605.120000000003,0.0,2023,0,1,1,4,5
Shop 379,6,14,66215.87,6.185139051536498,2023,0,5,4,5,2
Shop 380,0,23,51313.37,4.686368011892996,2023,0,5,5,4,3
Shop 381,44,8,16717.24,6.4577859597344895,2023,0,2,2,3,2
Shop 382,44,8,20274.81,5.30111594103361,2023,0,2,2,3,3
Shop 383,71,9,52716.16,6.075025651657459,2023,0,1,2,5,2
Shop 384,0,5,2652.06,3.6068450072348983,2024,0,5,1,1,4
Shop 385,20,5,4694.01,3.9179011028215767,2023,0,3,1,1,4
Shop 386,12,13,17573.8,6.529814694609902,2023,0,4,4,3,2
Shop 387,49,11,28658.9,5.364347822758191,2023,0,2,3,4,3
Shop 388,33,4,2121.62,2.84749498372377,2023,1,2,1,1,5
Shop 389,6,13,23263.149999999998,0.7194497839568565,2023,0,5,4,3,5
Shop 390,14,12,28002.34,6.067619767863848,2023,0,3,3,4,2
Shop 391,7,6,8047.33,4.17634450296289,2023,0,5,2,2,4
Shop 392,20,12,14009.93,4.983485380854175,2023,0,3,3,2,3
