Shop Code,Recency,Frequency,Monetary,Volatility,R_Score,V_Score,F_Score,M_Score,Segment,Cluster
Shop 044,224,3,2279.96,2.9605841934196553,1,5,1,1,At Risk,2
Shop 045,4,30,29076.71,4.705095203329051,5,3,5,3,Loyal,0
Shop 046,33,2,6223.28,6.557438524301998,2,2,1,1,Dormant,0
Shop 047,33,6,19603.37,5.919112613442746,2,2,1,3,At Risk,0
Shop 048,15,6,13246.16,6.8023100938189405,3,1,1,2,At Risk,0
Shop 049,125,3,2069.63,3.9452719881487197,1,4,1,1,At Risk,0
Shop 050,491,1,473.66999999999996,0.0,1,5,1,1,At Risk,2
Shop 051,41,13,23738.79,4.64789357431126,2,3,3,3,At Risk,0
Shop 052,14,21,82001.36,5.496955739122568,4,2,4,5,Promising,0
Shop 053,13,16,31130.010000000002,4.456748051444136,4,4,4,4,Loyal,0
Shop 054,34,10,20498.170000000002,6.06909482311749,2,2,2,3,At Risk,0
Shop 055,5,14,16133.38,3.5064932736196917,5,4,3,2,Promising,0
Shop 056,13,13,57988.17,6.54372403120626,4,2,3,4,Promising,0
Shop 057,12,9,8901.97,3.3502116944485305,4,5,2,2,Promising,0
Shop 058,49,1,995.46,0.0,2,5,1,1,At Risk,0
Shop 059,14,4,8336.66,5.395598263490112,4,2,1,2,Promising,0
Shop 060,40,6,7483.58,4.48493155138865,2,4,1,2,At Risk,0
Shop 061,32,3,2374.04,4.158275560498257,2,4,1,1,At Risk,0
Shop 062,1,5,6537.9800000000005,4.612770084195677,5,3,1,1,Promising,0
Shop 063,27,14,43311.15,7.377824390255466,2,1,3,4,At Risk,0
Shop 064,15,10,33024.12,8.234082439234228,3,1,2,4,At Risk,0
Shop 065,1,9,30784.81,5.071158934946278,5,3,2,4,Promising,0
Shop 066,8,24,47900.68,5.244165275882914,4,3,5,4,Loyal,0
Shop 067,15,16,22771.57,4.859137491034453,3,3,4,3,At Risk,0
Shop 068,4,17,23513.2,4.4824241774970695,5,4,4,3,Loyal,0
Shop 069,18,8,10567.35,4.6588750125985285,3,3,2,2,At Risk,0
Shop 070,40,10,13585.67,4.431891969242944,2,4,2,2,At Risk,0
Shop 071,28,11,30681.87,6.103246310139376,2,2,3,4,At Risk,0
Shop 072,11,9,13006.29,3.80291745423799,4,4,2,2,Promising,0
Shop 073,15,14,24699.350000000002,3.9031892587782715,3,4,3,3,At Risk,0
Shop 074,49,10,8875.16,4.853712637518908,2,3,2,2,At Risk,0
Shop 075,20,11,43365.25,7.520499612167225,3,1,3,4,At Risk,0
Shop 076,41,1,38060.57,0.0,2,5,1,4,At Risk,0
Shop 077,116,7,7425.15,4.8800058172980485,1,3,2,1,At Risk,0
Shop 078,7,25,78324.42,7.0803351551513645,4,1,5,5,Promising,0
Shop 079,104,11,29431.59,1.8818118915670208,1,5,3,4,At Risk,0
Shop 080,47,7,16039.41,5.30689442873099,2,3,2,2,At Risk,0
Shop 081,0,33,160966.91,7.46080611601174,5,1,5,5,Promising,0
Shop 082,161,25,98269.66,2.937248379331428,1,5,5,5,At Risk,0
Shop 083,4,10,9272.98,4.010829426478084,5,4,2,2,Promising,0
Shop 084,47,6,6790.67,4.66284434084377,2,3,1,1,At Risk,0
Shop 085,34,1,809.95,0.0,2,5,1,1,At Risk,0
Shop 086,26,3,94614.25,5.139881003062907,3,3,1,5,At Risk,0
Shop 087,26,11,80318.08,5.931077216166403,3,2,3,5,At Risk,0
Shop 088,1,1,5455.56,0.0,5,5,1,1,Promising,0
Shop 089,264,4,2955.93,4.937213165607537,1,3,1,1,At Risk,2
Shop 090,19,26,68573.43000000001,5.057350961275016,3,3,5,5,At Risk,0
Shop 091,1,55,362324.24,7.958193554369553,5,1,5,5,Promising,1
Shop 092,36,1,1177.8600000000001,0.0,2,5,1,1,At Risk,0
Shop 093,61,9,44976.98,8.551221146556182,1,1,2,4,At Risk,0
Shop 094,11,7,12032.68,4.255700323514904,4,4,2,2,Promising,0
Shop 095,64,9,6631.44,1.9384135473636461,1,5,2,1,At Risk,0
Shop 096,286,2,2560.14,5.47722557505166,1,2,1,1,Dormant,2
Shop 097,22,21,40084.51,7.2074188575720495,3,1,4,4,At Risk,0
Shop 098,25,3,4291.6,7.7424395991291,3,1,1,1,At Risk,0
Shop 099,11,6,5111.24,3.706224407181504,4,4,1,1,Promising,0
Shop 100,36,17,30376.170000000002,3.603941656293381,2,4,4,4,At Risk,0
Shop 101,20,16,19205.78,4.053984206499349,3,4,4,3,At Risk,0
Shop 102,12,20,80067.97,6.354266862815318,4,2,4,5,Promising,0
Shop 103,8,12,33987.97,1.6631330073189492,4,5,3,4,Loyal,0
Shop 104,50,19,24203.28,4.511109909781135,2,3,4,3,At Risk,0
Shop 105,8,58,464190.5,5.538013082591724,4,2,5,5,Promising,1
Shop 106,33,10,14150.36,4.509650397041454,2,3,2,2,At Risk,0
Shop 107,14,14,47968.270000000004,7.476585104776127,4,1,3,4,Promising,0
